Project,Path,Class,ReleaseId,LOC,StmtCount,Cyclomatic,Cognitive,DistinctOperators,DistinctOperands,TotalOperators,TotalOperands,Vocabulary,Length,Volume,Difficulty,Effort,MaxNestingDepth,isLongMethod,isGodClass,isFeatureEnvy,isDuplicatedCode,CodeSmells,NSmells,Touches,prevCodeSmells,prevBuggy,Buggy
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java/,"org.apache.hedwig.server.persistence.Factory",release-4.0.0,3,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,no,no
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java/,"org.apache.hedwig.server.benchmark.FakeBookie",release-4.0.0,61,33,5,1,2,51,2,90,53.0,92.0,526.9686818198144,1.7647058823529411,929.9447326232018,1,0,0,1,0,0,1,3,0,no,no
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java/,"org.apache.hedwig.server.subscriptions.SubscriptionManager",release-4.0.0,77,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,no,no
bookkeeper,/hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java/,"org.apache.hedwig.client.handlers.SubscribeReconnectCallback",release-4.1.0,71,22,6,2,2,25,9,42,27.0,51.0,242.49926261033693,1.68,407.398761185366,1,0,1,1,0,2,4,1,2,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java/,"org.apache.bookkeeper.client.LedgerHandle.NoopCloseCallback",release-4.1.0,11,4,2,1,2,8,2,9,10.0,11.0,36.541209043760986,1.125,41.10886017423111,1,0,0,1,0,1,2,9,1,yes,yes
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigConsole.java/,"org.apache.hedwig.admin.console.HedwigConsole.UnsubCmd",release-4.1.0,21,15,2,1,1,19,1,28,20.0,29.0,125.33591475173351,0.7368421052631579,92.352779290751,1,0,0,1,0,3,4,2,0,no,yes
bookkeeper,/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/,"org.apache.hedwig.protocol.PubSubProtocol.UnsubscribeRequest.Builder",release-4.1.0,139,85,31,11,5,37,16,88,42.0,104.0,560.8010119689911,5.9459459459459465,3334.492503599407,3,0,1,1,0,2,4,1,2,yes,no
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java/,"org.apache.bookkeeper.bookie.Journal.JournalIdFilter",release-4.1.0,3,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java/,"org.apache.bookkeeper.meta.HierarchicalLedgerManager",release-4.1.0,427,164,30,13,6,146,51,393,152.0,444.0,3218.079815968952,8.075342465753424,25987.096596078045,2,1,1,1,0,7,10,4,10,yes,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java/,"org.apache.bookkeeper.conf.AbstractConfiguration",release-4.1.0,81,18,8,0,1,17,2,23,18.0,25.0,104.2481250360578,0.6764705882352942,70.52079046556851,0,0,0,0,0,0,0,2,0,yes,yes
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java/,"org.apache.hedwig.server.delivery.FIFODeliveryManager.StopServingSubscriber",release-4.1.0,25,5,2,0,1,6,1,9,7.0,10.0,28.07354922057604,0.75,21.05516191543203,0,0,0,1,0,0,1,2,0,yes,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java/,"org.apache.bookkeeper.client.BookieWatcher",release-4.1.0,166,79,16,6,6,62,15,104,68.0,119.0,724.4080781087905,5.032258064516129,3645.408393063591,1,0,1,1,0,9,11,4,6,yes,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java/,"org.apache.bookkeeper.bookie.Journal.JournalRollingFilter",release-4.1.0,10,6,2,1,1,6,1,6,7.0,7.0,19.651484454403228,0.5,9.825742227201614,1,0,0,1,0,0,1,3,0,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java/,"org.apache.bookkeeper.client.BKException.BKProtocolVersionException",release-4.1.0,5,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,no,yes
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigConsole.java/,"org.apache.hedwig.admin.console.HedwigConsole.ReadTopicCmd",release-4.1.0,19,13,3,2,3,14,4,24,17.0,28.0,114.44895955500952,2.571428571428571,294.29732457002444,1,0,0,1,0,0,1,2,0,no,yes
